google_index,page_rank,domain_age,nb_hyperlinks,nb_qm,domain_in_title,nb_eq,length_hostname,longest_word_path,tld_in_subdomain,ratio_digits_host,nb_www,ip,shortest_word_host,ratio_digits_url,nb_slash,length_url,longest_words_raw,prefix_suffix,nb_dots,phish_hints,ratio_extHyperlinks,status
1,6,-1,203,0,0,0,12,10,0,0.0,1,0,3,0.0,6,95,10,0,2,0,0.039408867,0
0,5,-1,66,0,1,0,24,12,0,0.0,1,0,3,0.0,3,49,16,0,3,0,0.045454545,0
1,10,8346,25,0,1,0,15,34,0,0.0,0,0,4,0.108910891,7,101,34,1,2,0,0.56,1
0,3,4567,80,0,1,0,31,11,0,0.0,0,0,4,0.0,4,81,22,0,2,0,0.625,0
0,5,7765,9,1,1,1,16,43,0,0.0,0,1,5,0.03030303,4,132,43,0,3,0,1.0,1
0,3,-1,12,0,1,0,22,0,0,0.0,1,0,3,0.0,2,30,15,0,2,0,0.083333333,0
0,1,3638,65,0,1,0,17,5,0,0.0,0,0,13,0.0,4,31,13,0,1,0,0.8307692309999999,0
0,7,7130,663,0,0,0,16,8,0,0.0,0,0,2,0.0,4,46,9,0,2,0,0.0497737559999999,0
1,3,-2,157,0,1,0,17,7,0,0.0,0,1,6,0.08974359,6,78,7,1,1,0,0.0127388539999999,0
0,3,3902,235,0,0,0,13,0,0,0.0,1,0,3,0.0,3,21,6,0,2,0,0.0170212769999999,0
1,2,-1,15,0,1,0,11,11,0,0.0,0,0,5,0.076923077,5,52,11,0,3,0,0.333333333,1
1,8,5160,5,1,0,1,14,11,0,0.0,1,1,3,0.148648649,3,74,11,0,4,0,0.6,0
1,0,531,10,1,0,0,25,23,0,0.0,1,0,3,0.037037037,6,108,23,1,4,3,0.1,1
1,0,3993,51,1,1,3,50,17,1,0.0,0,1,3,0.192,4,125,17,1,4,0,0.0,1
0,2,954,300,0,0,0,9,0,0,0.0,0,0,6,0.0,3,17,6,0,1,0,0.0066666669999999,0
0,5,4918,49,0,0,0,14,10,0,0.0,1,0,3,0.0,4,43,10,0,2,0,0.1020408159999999,0
0,2,-1,105,0,0,0,11,0,0,0.0,0,0,6,0.0,2,18,6,0,1,0,0.19047619,0
1,3,8299,0,0,1,0,18,7,0,0.0,0,0,3,0.15,7,60,10,0,4,1,0.0,0
1,5,6609,116,0,0,0,27,8,0,0.148148148,0,0,8,0.085106383,4,47,14,0,2,0,0.120689655,1
1,0,31,9,1,1,0,13,200,0,0.0,1,0,9,0.181467181,5,259,200,0,6,2,0.0,1
0,5,6070,422,0,1,0,16,6,0,0.0,0,0,5,0.0,4,50,6,0,2,0,0.319905213,0
1,10,8347,25,1,1,1,15,19,0,0.0,0,0,4,0.053097345,7,113,19,0,2,1,0.56,1
1,1,-1,17,0,0,0,21,9,0,0.0,1,0,3,0.0,6,60,10,1,3,2,0.235294118,1
1,0,1850,98,0,1,0,25,5,0,0.0,1,0,3,0.0,4,39,17,0,2,0,0.8877551020000001,1
1,3,7087,1,0,1,0,30,0,0,0.0,0,0,11,0.0,3,39,14,0,2,0,1.0,1
0,3,5832,124,0,1,0,16,0,0,0.0,1,0,3,0.0,3,25,8,0,2,0,0.056451613,0
1,5,7295,14,0,1,0,29,0,0,0.034482759,0,0,8,0.027777778,2,36,16,0,2,0,0.928571429,1
1,0,5656,87,0,1,0,10,9,0,0.0,0,0,6,0.0,5,49,9,0,3,2,0.655172414,1
0,5,5143,87,0,1,0,11,7,0,0.0,0,0,6,0.0,4,45,7,0,2,0,0.114942529,0
0,8,8217,159,0,1,0,21,6,0,0.0,0,0,7,0.0,7,63,9,1,2,0,0.075471698,0
0,4,-1,89,0,1,0,19,3,0,0.0,0,0,12,0.0,4,31,12,0,2,0,0.269662921,0
0,8,5158,30,0,1,0,19,0,0,0.0,0,0,6,0.0,2,26,8,0,2,0,0.133333333,0
1,0,-12,23,0,1,0,15,5,0,0.0,0,0,12,0.0,5,40,12,0,2,1,0.739130435,1
1,0,-1,0,0,1,0,72,0,0,0.0,0,0,5,0.0,3,80,43,0,2,0,0.0,1
0,4,2480,78,0,1,0,16,0,0,0.0,1,0,3,0.0,3,24,8,0,2,0,0.474358974,0
1,0,385,8,0,0,0,22,4,0,0.0,1,0,3,0.0,5,39,14,0,2,0,0.125,1
0,1,-1,19,0,1,0,11,8,0,0.0,0,0,7,0.0,6,63,8,1,2,3,0.473684211,1
0,4,3751,51,0,1,0,25,9,0,0.0,1,0,3,0.0,3,58,9,1,3,0,0.058823529,0
1,3,5456,24,0,1,0,18,7,0,0.0,0,0,3,0.0,3,42,7,1,2,0,0.25,0
1,0,1834,4,0,1,0,43,13,0,0.11627907,0,0,18,0.076923077,4,65,20,0,2,0,0.0,1
1,5,7295,38,0,1,0,27,4,0,0.0,0,0,8,0.131147541,5,61,14,0,3,0,0.7894736840000001,1
1,0,658,1,0,1,0,20,32,0,0.0,0,1,14,0.19266055,9,109,32,1,3,4,0.0,1
1,0,505,17,2,1,3,11,301,0,0.0,0,1,7,0.121287129,6,404,301,1,2,7,0.470588235,1
0,3,8704,70,0,1,0,16,0,0,0.0,0,0,3,0.0,2,23,6,0,2,0,0.1,0
1,4,8018,26,1,1,0,25,36,0,0.0,0,0,2,0.03030303,6,99,36,1,2,1,0.884615385,1
1,3,1137,70,0,1,0,23,0,0,0.0,1,0,3,0.0,3,32,15,0,2,0,0.471428571,0
1,4,7857,0,0,1,0,17,13,0,0.0,0,0,3,0.0,9,86,13,1,4,2,0.0,1
0,5,7351,189,0,1,0,21,8,0,0.0,1,0,3,0.0,5,61,13,0,3,0,0.095238095,0
0,4,-1,19,0,0,0,21,0,0,0.0,1,0,3,0.0,3,29,13,0,2,0,0.0,0
0,0,539,0,0,1,0,16,3,0,0.0,0,0,12,0.0,4,29,12,0,1,0,0.0,1
0,6,6255,204,0,1,0,25,16,0,0.0,1,0,3,0.0,3,49,17,0,2,0,0.1372549019999999,0
0,5,8934,42,0,1,0,19,0,0,0.0,0,0,4,0.0,3,28,10,0,2,0,0.142857143,0
1,0,2192,88,0,1,0,14,32,0,0.0,0,1,10,0.253333333,5,75,32,0,1,0,0.102272727,1
1,5,7296,9,0,1,0,33,0,0,0.0,0,0,8,0.0,3,42,20,0,2,0,0.8888888890000001,1
0,4,-1,12,0,1,0,31,7,0,0.0,0,0,24,0.0,5,72,24,1,3,2,0.333333333,1
0,3,3588,55,0,0,0,18,7,0,0.0,1,0,3,0.0,3,39,10,0,3,0,0.036363636,0
1,1,4284,23,1,1,3,21,43,0,0.0,1,1,3,0.207407407,6,135,43,1,2,2,0.2173913039999999,1
0,5,7586,187,0,1,0,22,11,0,0.0,1,0,3,0.0,3,49,14,0,2,0,0.005347594,0
1,0,6,0,0,1,0,17,0,0,0.0,0,0,13,0.0,3,26,13,0,1,0,0.0,1
0,0,95,44,0,1,0,11,0,0,0.0,0,0,7,0.0,3,20,7,0,1,0,0.0,1
0,3,2600,155,0,0,0,17,0,0,0.0,1,0,3,0.0,3,26,10,0,2,0,0.316129032,0
0,4,-1,169,1,1,1,24,4,0,0.0,1,0,3,0.097560976,3,41,16,0,2,0,0.01183432,0
0,2,3727,25,0,1,0,23,0,0,0.0,1,0,3,0.0,3,31,15,0,2,0,0.88,0
1,0,90,21,0,1,0,24,6,0,0.0,1,0,3,0.0,4,39,16,0,2,0,0.095238095,1
0,3,4763,16,0,1,0,32,8,0,0.0,1,0,3,0.0,5,84,9,0,2,0,0.5,0
1,4,8019,26,1,1,2,39,26,0,0.0,0,0,2,0.056962025,7,158,26,1,2,0,0.884615385,1
0,5,8336,336,0,1,0,13,6,0,0.153846154,1,0,3,0.048780488,3,41,6,0,2,0,0.354166667,0
1,0,1,237,1,1,1,21,7,0,0.0,0,0,2,0.0,4,49,14,1,1,0,0.147679325,1
0,2,6660,995,0,1,0,22,0,0,0.0,1,0,3,0.0,3,31,14,0,2,0,0.009045226,0
0,5,7298,55,0,1,0,37,0,0,0.0,0,0,8,0.0,3,45,24,0,2,0,0.727272727,0
1,0,-1,0,0,1,0,18,50,0,0.0,0,1,3,0.4352941179999999,4,85,50,0,4,0,0.0,1
1,5,5615,21,0,1,0,38,7,0,0.0,0,0,1,0.0,4,63,7,0,5,2,0.80952381,1
1,0,-1,1,2,1,9,12,17,0,0.0,0,1,8,0.248366013,5,153,17,0,5,0,0.0,1
1,8,10674,100,0,0,0,17,12,0,0.0,1,0,3,0.033333333,7,60,12,1,2,0,0.53,0
1,1,5511,1,0,1,0,25,4,0,0.04,0,0,9,0.024390244,3,41,11,0,3,0,0.0,1
0,1,-1,13,0,1,0,18,0,0,0.0,0,0,15,0.0,2,26,15,0,1,0,0.076923077,0
0,4,4705,92,0,0,0,17,7,0,0.0,1,0,3,0.0,3,43,7,0,3,0,0.641304348,0
0,2,1099,27,0,1,0,20,0,0,0.0,1,0,3,0.0,3,29,13,0,2,0,0.222222222,1
1,5,5613,19,1,1,1,25,67,0,0.0,0,0,1,0.126760563,3,142,67,0,5,0,0.3684210529999999,1
1,0,1807,4,0,1,0,16,8,0,0.0,1,0,3,0.0,5,48,8,0,3,1,0.0,1
1,0,2021,104,0,1,0,18,11,0,0.0,1,0,3,0.0,3,37,11,0,2,0,0.048076923,1
0,5,-1,49,0,1,0,15,10,0,0.0,0,0,2,0.0,3,33,10,0,2,0,0.06122449,0
1,5,7298,74,0,1,0,30,7,0,0.0,0,0,8,0.131147541,3,61,17,0,3,0,0.864864865,1
0,2,-1,645,0,1,0,19,0,0,0.0,1,0,3,0.0,3,28,9,0,3,0,0.049612403,0
1,7,9265,484,0,1,0,14,4,0,0.0,0,0,4,0.125,4,32,5,0,2,0,0.006198347,0
0,2,1499,104,0,0,0,17,0,0,0.0,1,0,3,0.0,3,26,9,0,2,0,0.673076923,0
1,5,5526,35,0,1,0,17,7,0,0.0,1,0,3,0.0,3,48,9,0,3,0,0.6571428570000001,0
1,0,4003,4,1,1,3,42,17,1,0.0,0,1,3,0.159663866,5,119,17,0,4,0,0.0,1
1,0,-1,48,0,1,0,10,32,0,0.0,0,1,6,0.322580645,5,62,32,0,1,0,0.0,1
1,0,-1,25,1,1,1,12,16,1,0.75,0,1,2,0.147540984,5,61,16,0,4,1,0.84,1
0,3,6190,56,0,0,0,13,0,0,0.0,1,0,3,0.0,3,22,6,0,2,0,0.142857143,0
0,4,-1,68,0,1,0,16,9,0,0.0,1,0,3,0.0,3,79,9,0,2,0,0.25,0
1,2,2299,58,0,0,0,17,4,0,0.0,1,0,3,0.0,4,45,9,0,2,0,0.137931034,0
0,10,5636,53,1,0,1,15,9,0,0.0,1,0,3,0.046511628,3,43,9,0,2,0,0.433962264,0
0,0,112,14,0,1,0,20,2,0,0.15,1,0,3,0.09375,4,32,12,0,2,0,0.0,1
0,4,2695,13,0,1,0,17,0,0,0.0,0,0,6,0.0,2,24,7,0,2,0,0.0,0
0,5,4544,115,0,1,0,28,0,0,0.0,1,0,3,0.0,3,37,10,0,2,0,0.1043478259999999,0
1,0,885,20,0,1,0,18,5,0,0.0,0,0,6,0.0,7,46,7,1,1,0,0.2,1
1,3,-1,79,0,0,0,19,8,0,0.0,1,0,3,0.0,3,40,11,0,2,0,0.012658228,0
1,1,4250,0,0,1,0,22,13,0,0.0,0,0,5,0.0,5,50,13,1,2,0,0.0,1
0,5,5290,67,0,1,0,14,7,0,0.0,1,0,3,0.025,4,40,7,0,2,0,0.104477612,0
0,4,2685,32,0,1,0,20,10,0,0.0,1,0,3,0.0,4,59,12,0,3,0,0.1875,0
0,2,1309,34,0,1,0,21,0,0,0.0,1,0,3,0.0,3,30,13,0,2,0,0.147058824,0
1,7,2139,8,0,0,0,10,7,0,0.0,0,0,7,0.0384615379999999,3,26,7,0,1,0,0.875,1
0,5,-1,171,0,0,0,12,0,0,0.0,1,0,3,0.0,3,21,4,0,2,0,0.0467836259999999,0
0,3,4358,4,0,1,0,20,4,0,0.0,1,0,3,0.0,3,56,12,0,3,0,0.75,0
0,4,8311,259,0,1,0,12,0,0,0.0,1,0,3,0.0,3,20,5,0,2,0,0.038610039,0
0,0,315,3,0,1,0,22,0,0,0.0,0,0,18,0.0,3,31,18,0,1,0,0.666666667,1
0,0,604,23,1,1,1,17,10,0,0.0,0,0,13,0.085106383,3,47,13,0,1,0,0.0,1
1,1,-1,3,0,1,0,12,9,0,0.0,0,0,9,0.0,7,48,9,0,1,1,0.666666667,1
1,5,5615,22,0,1,0,47,0,0,0.340425532,0,1,1,0.290909091,3,55,30,0,4,0,0.772727273,1
1,5,5626,0,0,1,0,48,0,1,0.1875,0,1,1,0.1578947369999999,3,57,11,0,4,0,0.0,1
0,10,8516,153,0,0,0,16,16,0,0.0,1,0,3,0.0,4,42,16,0,2,0,0.620915033,0
0,4,9041,14,0,0,0,16,0,0,0.0,1,0,3,0.0,3,25,8,0,2,0,0.214285714,0
0,1,41,13,0,0,0,9,0,0,0.0,0,0,5,0.0,2,16,5,0,1,0,0.307692308,0
0,5,7299,224,0,1,0,29,0,0,0.0,0,0,6,0.0,2,36,9,0,2,0,0.642857143,0
0,2,-1,67,0,1,0,22,0,0,0.0,1,0,3,0.0,3,31,11,0,3,0,0.059701493,0
1,8,6238,132,0,0,0,16,9,0,0.0,1,1,3,0.1707317069999999,4,41,9,0,3,0,0.113636364,0
1,3,3140,155,1,1,1,16,9,0,0.0,0,0,12,0.034482759,4,58,12,0,3,1,0.058064516,1
1,0,-1,24,0,1,0,21,11,0,0.095238095,0,0,5,0.042553191,4,47,12,1,1,0,0.0,1
0,10,5635,55,0,0,0,15,17,0,0.0,1,0,3,0.0,4,46,17,0,2,0,0.527272727,0
1,0,-1,31,0,1,1,21,23,0,0.0,1,1,3,0.363057325,3,157,23,0,4,1,0.516129032,1
0,8,7449,102,0,1,0,29,0,0,0.0,0,0,9,0.0,3,38,15,0,2,0,0.4019607839999999,0
1,2,8047,25,0,1,0,25,11,0,0.0,0,0,3,0.078947368,7,76,17,0,2,0,0.4,1
0,7,3777,50,0,1,0,13,4,0,0.0,1,0,3,0.0,3,30,5,0,2,1,0.24,0
0,8,7448,0,0,1,0,30,11,0,0.0,0,0,5,0.06741573,5,89,11,0,4,0,0.0,0
0,2,3486,32,0,1,0,22,0,0,0.0,0,0,16,0.0,2,29,16,0,2,0,0.34375,0
1,4,4886,0,1,1,0,11,10,0,0.0,0,0,7,0.0,4,33,10,0,2,0,0.0,1
0,4,6126,60,0,1,0,30,9,0,0.0,0,0,9,0.0,4,68,16,0,2,0,0.716666667,0
0,4,7188,99,0,1,0,19,22,0,0.0,1,0,3,0.0,3,54,22,0,3,0,0.0606060609999999,0
0,1,7529,98,0,0,0,12,0,0,0.0,1,0,3,0.0,2,19,5,0,2,0,0.918367347,0
0,7,12126,137,0,0,0,13,10,0,0.0,1,0,3,0.1,10,120,10,0,3,0,0.072992701,0
0,4,-1,21,1,1,1,12,9,0,0.0,1,0,3,0.048780488,4,41,9,0,2,0,0.80952381,0
0,2,7912,168,0,1,0,13,0,0,0.0,1,0,3,0.0,3,22,5,0,2,0,0.083333333,0
0,0,78,2,0,0,0,18,8,0,0.0,1,0,3,0.0,4,35,10,0,2,0,0.0,1
1,1,7189,103,0,1,0,33,0,0,0.0,1,0,3,0.0,3,41,8,0,3,0,0.067961165,1
0,5,5614,0,0,1,0,32,0,0,0.15625,0,0,1,0.125,2,40,15,0,4,0,0.0,1
0,5,7453,393,0,1,0,23,0,0,0.0,1,0,3,0.0,3,32,15,0,2,0,0.0407124679999999,0
0,5,7299,210,0,1,0,22,0,0,0.0,0,0,8,0.0,3,30,9,0,2,0,0.4428571429999999,0
0,6,11048,69,0,0,0,23,7,0,0.0,0,0,5,0.075757576,3,66,13,0,3,0,0.289855072,0
1,0,1422,0,0,1,0,19,12,0,0.0,0,0,15,0.0,6,59,15,1,1,3,0.0,1
0,2,4633,69,0,0,0,18,0,0,0.0,0,0,15,0.0,3,27,15,0,1,0,0.1884057969999999,0
0,7,7132,1133,0,0,0,16,5,0,0.0,0,0,2,0.0,4,41,9,0,2,0,0.060900265,0
0,7,7413,308,0,1,0,14,9,0,0.0,1,0,3,0.0,5,88,9,0,2,0,0.029220779,0
0,5,8217,165,0,0,0,20,11,0,0.0,1,0,3,0.0,6,125,12,0,2,0,0.115151515,0
1,2,-1,7,0,1,0,23,0,1,0.0,0,0,2,0.0,3,32,16,0,2,0,0.142857143,1
1,0,-1,0,0,1,0,18,0,0,0.0,0,0,6,0.0,3,26,8,1,1,0,0.0,1
1,0,232,19,0,1,0,33,0,0,0.0,0,0,6,0.0,3,41,22,0,2,0,0.105263158,1
0,10,7489,25,0,1,0,11,9,0,0.0,0,0,7,0.0,3,29,9,0,1,0,0.48,0
0,4,3295,41,0,1,0,22,0,0,0.0,1,0,3,0.0,3,30,14,0,2,0,0.414634146,0
0,7,7134,719,0,0,0,16,9,0,0.0,0,0,2,0.0,4,56,9,0,2,0,0.015299026,0
0,4,3995,0,0,1,0,13,6,0,0.0,1,0,3,0.1707317069999999,4,41,6,0,3,0,0.0,0
1,3,5984,0,1,1,1,23,11,0,0.260869565,0,1,7,0.192307692,4,52,11,0,3,0,0.0,1
0,6,8048,887,0,1,0,20,8,0,0.0,1,0,3,0.0,3,41,12,0,3,0,0.009019166,0
1,0,143,0,0,1,0,30,7,0,0.0,0,0,5,0.0,4,56,13,1,2,0,0.0,1
1,0,-1,4,0,1,0,22,5,0,0.0,1,0,3,0.0,6,54,11,0,4,0,0.0,1
1,2,1547,33,0,1,0,40,5,0,0.125,0,0,4,0.087719298,3,57,13,0,3,1,0.727272727,1
0,7,7130,543,0,1,0,16,4,0,0.0,0,0,2,0.0,4,33,9,0,2,0,0.0515653779999999,0
0,7,10316,207,0,0,0,15,7,0,0.0,1,0,3,0.12,5,50,7,0,3,0,0.169082126,0
1,0,1202,23,0,1,0,21,7,0,0.0,0,0,17,0.0,5,70,17,0,2,2,0.7826086959999999,1
1,0,385,8,0,0,0,22,6,0,0.0,1,0,3,0.0,5,41,14,0,2,0,0.125,1
1,2,561,0,0,1,0,19,0,0,0.0,0,0,3,0.0,3,28,6,1,2,0,0.0,1
1,0,330,3,0,1,0,43,13,0,0.0,0,0,39,0.0,6,89,39,1,2,2,0.0,1
1,6,-1,1,0,1,0,4,6,0,0.0,0,0,1,0.0,3,19,6,0,1,0,1.0,1
1,4,8019,19,1,1,1,36,34,0,0.0,0,0,2,0.04964539,7,141,34,1,2,1,0.263157895,1
1,1,2568,68,1,1,8,22,18,0,0.0,1,1,8,0.081967213,5,183,18,1,4,0,0.544117647,1
0,5,5411,136,0,1,0,14,9,0,0.0,0,0,10,0.0,4,40,10,0,1,0,0.036764706,0
0,2,1251,255,0,1,0,18,0,0,0.0,1,0,3,0.0,3,27,10,0,2,0,0.015686275,0
0,7,9174,510,0,0,0,18,5,0,0.0,1,0,3,0.0,4,38,10,0,2,0,0.058823529,0
0,1,7289,60,0,1,0,20,0,0,0.0,0,0,16,0.0,3,28,16,0,1,0,0.916666667,1
1,2,924,7,0,0,0,19,9,0,0.0,0,0,2,0.0,3,42,9,1,2,0,0.142857143,1
0,1,-1,37,0,0,0,15,0,0,0.0,1,0,2,0.0,3,23,3,1,2,0,0.72972973,0
1,0,4004,4,1,1,3,54,17,1,0.0,1,1,3,0.13740458,4,131,17,1,5,0,0.0,1
0,4,7988,64,0,1,0,12,11,0,0.0,1,0,3,0.0,6,57,11,0,3,0,0.09375,0
1,4,-1,0,0,1,0,19,10,0,0.0,0,0,7,0.085714286,4,70,10,0,3,0,0.0,0
1,0,59,12,0,1,0,19,7,0,0.0,0,0,15,0.0192307689999999,5,52,15,0,2,1,0.0,1
1,0,7812,3,0,1,0,17,3,0,0.0,1,0,3,0.0,4,29,9,0,2,0,0.333333333,1
1,7,7905,0,1,1,7,21,24,0,0.0,0,1,2,0.325242718,3,206,24,0,3,0,0.0,1
0,7,7132,635,0,0,0,16,8,0,0.0,0,0,2,0.0,4,52,9,0,2,0,0.088188976,0
1,0,-1,34,0,1,0,20,0,0,0.1,0,0,7,0.071428571,3,28,9,0,2,0,0.176470588,1
0,5,6977,95,0,0,0,14,8,0,0.0,1,0,3,0.0,4,35,8,0,2,0,0.021052632,0
