abnormal_subdomain,longest_word_path,domain_in_title,web_traffic,google_index,char_repeat,length_url,domain_age,nb_www,ratio_intHyperlinks,nb_extCSS,nb_eq,longest_words_raw,domain_in_brand,tld_in_subdomain,length_hostname,links_in_tags,nb_dots,avg_word_host,avg_word_path,domain_with_copyright,ratio_extErrors,nb_hyperlinks,empty_title,page_rank,phish_hints,login_form,right_clic,safe_anchor,nb_slash,ip,external_favicon,prefix_suffix,ratio_extHyperlinks,onmouseover,suspecious_tld,nb_qm,shortest_word_host,iframe,ratio_digits_url,ratio_digits_host,ratio_extRedirection,status
0,0,0,8675232,0,4,27,7391,1,0.294117647,0,0,12,0,0,19,100.0,2,7.5,0.0,1,0.0,17,0,3,0,0,0,7.692307692000001,3,0,0,0,0.705882353,0,0,0,3,0,0.0,0.0,0.166666667,0
0,9,1,219669,1,4,44,-1,1,0.901515152,1,0,9,0,0,17,82.35294118,3,6.0,5.333333333,1,0.0,132,0,4,0,1,0,80.64516129,4,0,1,0,0.098484848,0,0,0,3,0,0.0,0.0,0.076923077,0
0,7,0,0,1,3,47,5005,1,0.384615385,2,0,10,0,0,18,50.0,2,6.5,5.666666667,0,0.125,13,0,3,0,0,0,33.33333333,6,0,1,0,0.615384615,0,0,0,3,0,0.0,0.0,0.0,0
0,0,1,33345,0,1,32,7299,0,0.3859649120000001,4,0,11,1,0,24,25.0,2,9.5,0.0,1,0.0,57,0,5,0,0,0,64.0,3,0,1,0,0.614035088,0,0,0,8,0,0.0,0.0,0.142857143,0
0,11,0,2349295,0,3,46,3029,1,0.5,2,0,11,0,0,17,60.0,2,6.0,9.5,0,0.0,14,0,4,0,0,0,100.0,4,0,1,1,0.5,0,0,0,3,0,0.0,0.0,0.0,0
0,12,1,5469,0,0,56,12471,0,0.958801498,0,0,12,0,0,18,92.0,2,6.5,9.333333333,1,0.0,267,0,5,0,0,0,61.9047619,4,0,1,0,0.041198502,0,0,0,4,0,0.0,0.0,0.727272727,0
0,0,1,0,1,0,21,-1,0,1.0,0,0,7,0,0,12,100.0,1,7.0,0.0,0,0.0,4,0,0,0,0,0,100.0,3,0,0,0,0.0,0,1,0,7,0,0.0,0.0,0.0,1
0,9,1,891330,1,5,50,-1,1,0.95,1,0,9,0,0,15,91.66666667,2,5.0,5.75,0,0.0,80,0,5,0,0,0,100.0,5,0,1,1,0.05,0,0,0,3,0,0.0,0.0,0.0,0
0,5,1,0,1,2,53,5614,0,0.19047619,1,0,18,0,0,35,0.0,4,7.0,4.0,1,0.0,21,0,5,0,0,0,25.0,4,1,1,0,0.80952381,0,0,0,1,0,0.264150943,0.4,0.176470588,1
0,0,1,7198650,1,3,68,5613,0,0.75,0,0,7,0,0,59,50.0,4,4.090909091,0.0,0,0.0,4,0,5,0,0,0,0.0,3,0,0,0,0.25,0,0,0,1,0,0.088235294,0.101694915,0.0,1
0,8,1,35245,0,3,45,3772,1,0.629032258,2,0,13,0,0,21,45.45454545,2,8.0,6.5,0,0.086956522,62,0,4,0,0,0,16.66666667,5,0,1,0,0.370967742,0,0,0,3,0,0.0,0.0,0.434782609,0
0,0,1,1428403,1,1,29,6663,0,0.932038835,1,0,8,0,0,21,81.81818182,2,5.333333333,0.0,1,0.0,103,0,0,0,0,0,0.0,3,0,1,1,0.067961165,0,0,0,4,0,0.068965517,0.095238095,0.285714286,1
0,5,1,4509050,1,3,68,-1,1,1.0,0,1,7,0,0,18,100.0,6,5.0,3.777777778,0,0.0,11,0,0,1,0,0,100.0,5,0,0,0,0.0,0,0,1,3,0,0.0,0.0,0.0,1
0,8,1,0,1,3,61,2926,1,0.0,0,0,16,0,0,24,0.0,3,9.5,5.0,0,0.0,0,1,1,1,0,0,0.0,6,0,0,0,0.0,0,0,0,3,0,0.0,0.0,0.0,1
0,23,1,0,1,1,94,134,0,0.904761905,1,1,23,0,0,20,75.0,3,7.5,8.428571429,0,0.0,42,0,2,0,0,0,0.0,4,0,1,0,0.095238095,0,0,1,4,0,0.074468085,0.0,0.0,1
0,0,1,236183,0,1,31,7298,0,0.9296875,6,0,9,1,0,22,23.07692308,2,8.5,0.0,1,0.018518519,768,0,5,0,0,0,97.6022567,3,0,1,0,0.0703125,0,0,0,8,0,0.0,0.0,0.2037037039999999,0
0,5,0,0,0,2,42,2076,0,0.0,17,0,15,0,0,28,44,2,8.666666666666666,2.5,0,0.0,5,0,0,1,1,0,0.0,3,0,1,0,0.0,0,0,0,3,1,0.0,0.0,0.0,0
0,9,1,10431514,1,1,71,-1,0,1.0,0,0,9,0,0,11,100.0,2,8.0,5.625,0,0.0,4,0,0,3,0,0,100.0,8,0,0,1,0.0,0,0,0,8,0,0.0,0.0,0.0,1
0,12,1,1303460,1,3,50,7371,1,0.8773946359999999,0,0,12,0,0,15,76.92307692,3,5.0,6.0,1,0.0,261,0,5,0,0,0,89.86175115,5,0,0,0,0.122605364,0,0,0,3,0,0.0,0.0,0.71875,0
0,32,1,0,1,1,92,-1,0,1.0,0,0,32,0,0,22,100.0,2,15.0,9.333333333,1,0.0,11,0,1,3,0,0,0.0,8,1,0,1,0.0,0,0,0,15,0,0.141304348,0.0,0.0,1
0,11,1,77959,1,4,78,-1,1,0.8714285709999999,1,0,11,0,0,17,90.0,3,4.5,6.571428571,1,0.0,70,0,4,0,0,0,37.5,6,0,1,1,0.128571429,0,0,0,3,0,0.0,0.0,0.0,0
0,40,1,5967691,0,2,69,1963,0,0.869565217,1,0,40,0,0,20,90.90909091,2,7.5,40.0,0,0.0,23,0,3,0,0,0,0.0,3,1,1,0,0.130434783,0,0,0,4,0,0.3913043479999999,0.0,0.0,1
0,0,1,0,1,3,78,5626,0,0.0,0,0,36,0,0,69,0.0,4,10.0,0.0,0,0.0,0,1,5,0,0,0,0.0,3,1,0,0,0.0,0,0,0,1,0,0.115384615,0.130434783,0.0,1
0,0,1,201422,0,6,27,-1,1,0.945619335,2,0,11,0,0,18,85.71428571,2,7.0,0.0,1,0.111111111,331,0,2,0,0,0,61.53846154,3,0,1,0,0.054380665,0,0,0,3,0,0.0,0.0,0.111111111,0
0,2,1,8552690,1,3,29,3593,1,0.0,0,0,10,0,0,18,0.0,2,6.5,2.0,0,0.0,0,1,0,0,0,0,0.0,4,0,0,0,0.0,0,0,0,3,0,0.0,0.0,0.0,1
0,9,1,790268,0,6,73,2403,1,1.0,0,1,9,0,0,16,100.0,5,5.5,4.333333333,0,0.0,1,0,3,0,0,0,0.0,7,1,0,0,0.0,0,0,1,3,0,0.123287671,0.0,0.0,1
0,8,1,0,1,2,75,72,0,1.0,0,1,14,0,0,18,0.0,3,14.0,5.125,0,0.0,1,0,0,0,0,0,0.0,5,0,0,0,0.0,0,0,1,14,0,0.0,0.0,0.0,1
0,9,1,3893420,1,6,84,3452,1,0.0,0,0,9,0,0,13,0.0,3,4.0,3.923076923,1,0.0,0,1,2,0,0,0,0.0,5,1,0,0,0.0,0,0,0,3,0,0.333333333,0.0,0.0,0
0,17,1,5707171,1,2,127,3993,0,1.0,0,3,17,0,1,50,100.0,4,8.4,7.375,1,0.0,51,0,0,0,0,0,100.0,5,1,0,1,0.0,0,0,1,3,0,0.149606299,0.0,0.0,1
0,12,1,15425,1,3,75,8206,1,0.8072289159999999,1,0,12,0,0,17,76.92307692,3,6.0,7.5,0,0.0,249,0,5,0,0,0,19.04761905,7,0,1,0,0.1927710839999999,0,0,0,3,0,0.0,0.0,0.1041666669999999,0
0,7,0,13779,0,1,36,2247,0,0.835616438,0,0,7,0,0,7,80.0,1,4.0,6.0,0,0.0,73,0,5,0,0,0,9.090909091,4,0,1,0,0.1643835619999999,0,0,0,4,0,0.0,0.0,0.666666667,0
0,0,1,962441,0,4,24,2031,1,0.432432432,2,0,7,0,0,15,55.55555556,2,5.0,0.0,0,0.095238095,37,0,4,0,0,0,38.88888889,3,0,1,0,0.567567568,0,0,0,3,0,0.0,0.0,0.142857143,0
0,8,0,12,0,0,58,7133,0,0.911894273,0,0,9,1,0,16,100.0,2,5.5,4.666666667,0,0.05,227,0,7,0,0,0,68.25396825,4,0,0,0,0.088105727,0,0,0,2,0,0.0172413789999999,0.0,0.25,0
0,17,1,0,1,1,142,8018,0,0.736842105,0,1,17,0,0,34,44.44444444,2,9.333333333,7.909090909,0,0.0,19,0,4,0,0,0,100.0,7,0,0,1,0.263157895,0,0,1,2,0,0.028169014,0.0,0.0,1
0,11,0,24609,0,0,67,8823,0,0.7518796990000001,1,0,11,0,0,21,16.66666667,2,8.0,6.8,0,0.0,266,0,4,0,0,0,97.93814433,3,0,1,0,0.248120301,0,0,0,7,0,0.0,0.0,0.0,0
0,5,1,8237707,1,2,42,4633,0,0.0,0,0,8,0,0,19,0.0,3,7.0,4.0,0,0.0,0,1,0,1,0,0,0.0,5,0,0,0,0.0,0,0,0,6,0,0.0,0.0,0.0,1
0,12,1,0,1,6,52,2100,1,0.0,0,1,12,0,0,16,0.0,2,5.5,6.25,0,0.0,0,1,0,0,0,0,0.0,3,0,0,0,0.0,0,0,1,3,0,0.115384615,0.0,0.0,1
0,10,0,7974,1,4,95,-1,1,0.960591133,0,0,10,0,0,12,90.90909091,2,3.5,5.818181817999999,0,0.0,203,0,6,0,0,0,56.25,6,0,0,0,0.039408867,0,0,0,3,0,0.0,0.0,0.5,0
0,12,1,608816,0,4,49,-1,1,0.954545455,0,0,16,0,0,24,100.0,3,9.5,8.0,0,0.666666667,66,0,5,0,0,0,50.0,3,0,0,0,0.045454545,0,0,0,3,0,0.0,0.0,0.0,0
0,34,1,1,1,3,101,8346,0,0.44,3,0,34,1,0,15,37.5,2,5.0,12.0,1,0.0,25,0,10,0,0,0,0.0,7,0,1,1,0.56,0,0,0,4,0,0.108910891,0.0,0.0,1
0,11,1,372555,0,1,81,4567,0,0.375,7,0,22,0,0,31,44.11764706,2,13.0,7.4,1,0.06,80,0,3,0,1,0,80.0,4,0,1,0,0.625,0,0,0,4,0,0.0,0.0,0.02,0
0,43,1,32,0,40,132,7765,0,0.0,1,1,43,0,0,16,0.0,3,5.5,16.83333333,0,0.0,9,0,5,0,0,0,0.0,4,1,1,0,1.0,0,0,1,5,0,0.03030303,0.0,0.0,1
0,0,1,378774,0,4,30,-1,1,0.916666667,0,0,15,0,0,22,100.0,2,9.0,0.0,1,0.0,12,0,3,0,0,0,92.85714286,2,0,0,0,0.083333333,0,0,0,3,0,0.0,0.0,1.0,0
0,5,1,758502,0,0,31,3638,0,0.1692307689999999,0,0,13,0,0,17,100.0,1,13.0,5.0,1,0.018518519,65,0,1,0,0,0,97.14285714,4,0,0,0,0.8307692309999999,0,0,0,13,0,0.0,0.0,0.111111111,0
0,8,0,12,0,0,46,7130,0,0.950226244,0,0,9,1,0,16,100.0,2,5.5,6.333333333,1,0.181818182,663,0,7,0,0,0,74.80916031,4,0,0,0,0.0497737559999999,0,0,0,2,0,0.0,0.0,0.606060606,0
0,7,1,11543,1,1,78,-2,0,0.987261146,0,0,7,0,0,17,100.0,1,6.5,4.888888889,1,0.0,157,0,3,0,0,0,100.0,6,1,0,1,0.0127388539999999,0,0,0,6,0,0.08974359,0.0,1.0,0
0,0,0,544866,0,3,21,3902,1,0.982978723,0,0,6,0,0,13,100.0,2,4.5,0.0,1,0.0,235,0,3,0,0,0,85.71428571,3,0,0,0,0.0170212769999999,0,0,0,3,0,0.0,0.0,0.25,0
0,11,1,4439212,1,1,52,-1,0,0.666666667,0,0,11,0,0,11,83.33333333,3,5.0,5.8,1,0.0,15,0,2,0,0,0,0.0,5,0,1,0,0.333333333,0,0,0,5,0,0.076923077,0.0,0.2,1
0,11,0,115,1,5,74,5160,1,0.4,0,1,11,1,0,14,0.0,4,4.5,4.2,0,0.0,5,0,8,0,0,0,0.0,3,1,0,0,0.6,0,0,1,3,0,0.148648649,0.0,0.666666667,0
0,23,0,0,1,4,108,531,1,0.9,0,0,23,0,0,25,75.0,4,10.0,6.6,0,0.0,10,0,0,3,0,0,0.0,6,0,0,1,0.1,0,0,1,3,0,0.037037037,0.0,0.0,1
0,17,1,5707171,1,6,125,3993,0,1.0,0,3,17,0,1,50,100.0,4,8.4,8.142857142999999,1,0.0,51,0,0,0,0,0,100.0,4,1,0,1,0.0,0,0,1,3,0,0.192,0.0,0.0,1
0,0,0,334510,0,1,17,954,0,0.993333333,0,0,6,0,0,9,100.0,1,6.0,0.0,1,0.0,300,0,2,0,0,0,96.55172414,3,0,0,0,0.0066666669999999,0,0,0,6,0,0.0,0.0,1.0,0
0,10,0,19671,0,6,43,4918,1,0.8979591840000001,0,0,10,0,0,14,100.0,2,4.5,4.5,1,0.0,49,0,5,0,0,0,77.77777778,4,0,0,0,0.1020408159999999,0,0,0,3,0,0.0,0.0,0.4,0
0,0,0,1111694,0,0,18,-1,0,0.80952381,0,0,6,0,0,11,85.71428571,1,6.0,0.0,1,0.0,105,0,2,0,0,0,12.5,2,0,1,0,0.19047619,0,0,0,6,0,0.0,0.0,0.3,0
0,7,1,41286,1,2,60,8299,0,0.0,0,0,10,0,0,18,0.0,4,6.5,4.0,1,0.0,0,1,3,1,0,0,0.0,7,0,0,0,0.0,0,0,0,3,0,0.15,0.0,0.0,0
0,8,0,931,1,6,47,6609,0,0.879310345,0,0,14,0,0,27,87.09677419,2,11.0,5.0,0,0.071428571,116,0,5,0,0,0,0.0,4,0,1,0,0.120689655,0,0,0,8,0,0.085106383,0.148148148,0.285714286,1
0,200,1,0,1,8,259,31,1,1.0,0,0,200,0,0,13,100.0,6,9.0,25.55555556,0,0.0,9,0,0,2,0,0,0.0,5,0,0,0,0.0,0,0,1,9,0,0.181467181,0.0,0.0,1
0,6,0,0,1,3,67,10551,1,0,0,2,13,0,0,14,3,2,4.0,3.0,0,0.0,0,1,8,0,0,0,0,3,0,1,0,0,0,0,1,3,0,0.22388059701492538,0.0,0.0,0
0,6,1,14592,0,0,50,6070,0,0.680094787,2,0,6,0,0,16,25.0,2,5.5,4.4,1,0.014814815,422,0,5,0,0,0,13.43283582,4,0,1,0,0.319905213,0,0,0,5,0,0.0,0.0,0.059259259,0
0,19,1,1,1,2,113,8347,0,0.44,3,1,19,1,0,15,37.5,2,5.0,7.181818182000001,1,0.0,25,0,10,1,0,0,0.0,7,0,1,0,0.56,0,0,1,4,0,0.053097345,0.0,0.0,1
0,9,0,0,1,4,60,-1,1,0.764705882,0,0,10,0,0,21,100.0,3,6.5,6.5,1,0.0,17,0,1,2,0,0,63.63636364,6,0,0,1,0.235294118,0,0,0,3,0,0.0,0.0,0.0,1
0,5,1,0,1,3,39,1850,1,0.112244898,4,0,17,0,0,25,7.692307692000001,2,10.0,5.0,1,0.0,98,0,0,0,0,0,3.333333333,4,0,1,0,0.8877551020000001,0,0,0,3,0,0.0,0.0,0.931034483,1
0,0,1,18105,1,0,39,7087,0,0.0,0,0,14,0,0,30,0.0,2,12.5,0.0,0,0.0,1,1,3,0,0,0,0.0,3,0,0,0,1.0,0,0,0,11,0,0.0,0.0,0.0,1
0,0,1,2383950,0,3,25,5832,1,0.943548387,0,0,8,0,0,16,85.0,2,5.5,0.0,0,0.285714286,124,0,3,0,0,0,0.0,3,0,1,0,0.056451613,0,0,0,3,0,0.0,0.0,0.142857143,0
0,8,0,0,1,2,91,595,0,0.0,3,0,12,0,0,9,9,4,4.0,2.6666666666666665,0,0.0,1,0,0,0,0,0,0.0,4,0,1,0,0.0,0,0,1,2,0,0.0,0.0,0.0,1
0,0,1,0,1,2,36,7295,0,0.071428571,0,0,16,1,0,29,0.0,2,12.0,0.0,0,0.615384615,14,0,5,0,0,0,14.28571429,2,0,1,0,0.928571429,0,0,0,8,0,0.027777778,0.034482759,0.846153846,1
0,9,1,0,1,1,49,5656,0,0.344827586,1,0,9,0,0,10,33.33333333,3,6.0,5.4,1,0.01754386,87,0,0,2,0,0,32.3943662,5,0,1,0,0.655172414,0,0,0,6,0,0.0,0.0,0.684210526,1
0,7,1,45546,0,1,45,5143,0,0.885057471,0,0,7,0,0,11,66.66666667,2,6.0,4.4,1,0.1,87,0,5,0,0,0,0.0,4,0,0,0,0.114942529,0,0,0,6,0,0.0,0.0,0.0,0
0,6,1,213,0,2,63,8217,0,0.924528302,0,0,9,0,0,21,88.46153846,2,8.0,3.25,1,0.0,159,0,8,0,0,0,65.21739129999999,7,0,1,1,0.075471698,0,0,0,7,0,0.0,0.0,0.333333333,0
0,3,1,788916,0,0,31,-1,0,0.7303370790000001,1,0,12,0,0,19,50.0,2,12.0,3.0,1,0.041666667,89,0,4,0,0,0,42.42424242,4,0,1,0,0.269662921,0,0,0,12,0,0.0,0.0,0.083333333,0
0,0,1,0,0,0,26,5158,0,0.8666666670000001,0,0,8,1,0,19,100.0,2,7.0,0.0,0,0.0,30,0,8,0,0,0,0.0,2,0,0,0,0.133333333,0,0,0,6,0,0.0,0.0,0.0,0
0,0,0,0,0,2,28,1467,0,0.0,16,0,8,0,0,19,38,2,5.666666666666667,0.0,0,0.0,22,0,0,0,0,0,0.0,3,0,0,0,0.22727272727272727,0,0,0,4,0,0.0,0.0,0.0,0
0,5,1,0,1,2,40,-12,0,0.260869565,0,0,12,0,0,15,20.0,2,12.0,3.5,0,0.0,23,0,0,1,0,0,0.0,5,0,1,0,0.739130435,0,1,0,12,0,0.0,0.0,0.352941176,1
0,0,1,0,1,3,80,-1,0,0.0,0,0,43,0,0,72,0.0,2,16.25,0.0,0,0.0,0,1,0,0,0,0,0.0,3,0,0,0,0.0,0,0,0,5,0,0.0,0.0,0.0,1
0,0,1,5257779,0,3,24,2480,1,0.5256410260000001,6,0,8,0,0,16,42.85714286,2,5.5,0.0,1,0.054054054,78,0,4,0,0,0,26.66666667,3,0,1,0,0.474358974,0,0,0,3,0,0.0,0.0,0.081081081,0
0,4,0,0,1,4,39,385,1,0.875,0,0,14,0,0,22,100.0,2,8.5,3.5,1,0.0,8,0,0,0,0,0,50.0,5,0,0,0,0.125,0,0,0,3,0,0.0,0.0,1.0,1
0,8,1,6734931,0,1,63,-1,0,0.526315789,1,0,8,0,0,11,60.0,2,7.0,4.625,1,0.0,19,0,1,3,0,0,100.0,6,0,1,1,0.473684211,0,0,0,7,0,0.0,0.0,0.0,1
0,9,1,0,0,4,58,3751,1,0.941176471,0,0,9,0,0,25,80.0,3,6.333333333,5.5,0,0.0,51,0,4,0,0,0,85.71428571,3,0,0,1,0.058823529,0,0,0,3,0,0.0,0.0,0.333333333,0
0,7,1,124062,1,0,42,5456,0,0.75,0,0,7,0,0,18,60.0,2,4.0,7.0,0,0.0,24,0,3,0,0,0,0.0,3,0,1,1,0.25,0,0,0,3,0,0.0,0.0,0.0,0
0,13,1,0,1,3,65,1834,0,1.0,0,0,20,0,0,43,100.0,2,19.0,13.0,0,0.0,4,0,0,0,0,0,100.0,4,0,0,0,0.0,0,0,0,18,0,0.076923077,0.11627907,0.0,1
0,4,1,0,1,0,61,7295,0,0.210526316,3,0,14,1,0,27,0.0,3,11.0,3.333333333,1,0.666666667,38,0,5,0,0,0,26.66666667,5,0,1,0,0.7894736840000001,0,0,0,8,0,0.131147541,0.0,0.7,1
0,32,1,9558747,1,1,109,658,0,1.0,0,0,32,0,0,20,100.0,3,14.0,8.111111111,0,0.0,1,1,0,4,0,0,0.0,9,1,0,1,0.0,0,0,0,14,0,0.19266055,0.0,0.0,1
0,301,1,0,1,6,404,505,0,0.529411765,0,3,301,0,0,11,0.0,2,7.0,37.5,0,0.875,17,0,0,7,0,0,50.0,6,1,1,1,0.470588235,0,0,2,7,0,0.121287129,0.0,0.125,1
0,0,1,5332182,0,1,23,8704,0,0.9,0,0,6,0,0,16,80.0,2,4.5,0.0,1,0.142857143,70,0,3,0,0,0,50.0,2,0,0,0,0.1,0,0,0,3,0,0.0,0.0,0.0,0
0,36,1,0,1,2,99,8018,0,0.115384615,0,0,36,0,0,25,7.692307692000001,2,6.333333333,8.142857142999999,0,0.086956522,26,0,4,1,0,0,0.0,6,0,1,1,0.884615385,0,0,1,2,0,0.03030303,0.0,0.0,1
0,0,1,1578580,1,4,32,1137,1,0.528571429,1,0,15,0,0,23,53.84615385,2,9.0,0.0,0,0.03030303,70,0,3,0,1,0,31.57894737,3,0,1,0,0.471428571,0,0,0,3,0,0.0,0.0,0.0606060609999999,0
