nb_qm,longest_word_path,nb_slash,nb_dots,length_hostname,ratio_intHyperlinks,domain_age,login_form,ip,links_in_tags,ratio_extHyperlinks,ratio_extRedirection,ratio_digits_host,nb_hyperlinks,prefix_suffix,empty_title,nb_www,iframe,domain_in_title,nb_eq,web_traffic,phish_hints,shortest_word_host,google_index,longest_words_raw,avg_word_path,ratio_extErrors,avg_word_host,length_url,page_rank,ratio_digits_url,char_repeat,tld_in_subdomain,safe_anchor,status
0,8,5,2,21,0.629032258,3772,0,0,45.45454545,0.370967742,0.434782609,0.0,62,0,0,1,0,1,0,35245,0,3,0,13,6.5,0.086956522,8.0,45,4,0.0,3,0,16.66666667,0
0,0,3,2,21,0.932038835,6663,0,0,81.81818182,0.067961165,0.285714286,0.095238095,103,1,0,0,0,1,0,1428403,0,4,1,8,0.0,0.0,5.333333333,29,0,0.068965517,1,0,0.0,1
1,5,5,6,18,1.0,-1,0,0,100.0,0.0,0.0,0.0,11,0,0,1,0,1,1,4509050,1,3,1,7,3.777777778,0.0,5.0,68,0,0.0,3,0,100.0,1
0,8,6,3,24,0.0,2926,0,0,0.0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,1,3,1,16,5.0,0.0,9.5,61,1,0.0,3,0,0.0,1
1,23,4,3,20,0.904761905,134,0,0,75.0,0.095238095,0.0,0.0,42,0,0,0,0,1,1,0,0,4,1,23,8.428571429,0.0,7.5,94,2,0.074468085,1,0,0.0,1
0,0,3,2,22,0.9296875,7298,0,0,23.07692308,0.0703125,0.2037037039999999,0.0,768,0,0,0,0,1,0,236183,0,8,0,9,0.0,0.018518519,8.5,31,5,0.0,1,0,97.6022567,0
0,9,8,2,11,1.0,-1,0,0,100.0,0.0,0.0,0.0,4,1,0,0,0,1,0,10431514,3,8,1,9,5.625,0.0,8.0,71,0,0.0,1,0,100.0,1
0,12,5,3,15,0.8773946359999999,7371,0,0,76.92307692,0.122605364,0.71875,0.0,261,0,0,1,0,1,0,1303460,0,3,1,12,6.0,0.0,5.0,50,5,0.0,3,0,89.86175115,0
0,32,8,2,22,1.0,-1,0,1,100.0,0.0,0.0,0.0,11,1,0,0,0,1,0,0,3,15,1,32,9.333333333,0.0,15.0,92,1,0.141304348,1,0,0.0,1
0,11,6,3,17,0.8714285709999999,-1,0,0,90.0,0.128571429,0.0,0.0,70,1,0,1,0,1,0,77959,0,3,1,11,6.571428571,0.0,4.5,78,4,0.0,4,0,37.5,0
0,40,3,2,20,0.869565217,1963,0,1,90.90909091,0.130434783,0.0,0.0,23,0,0,0,0,1,0,5967691,0,4,0,40,40.0,0.0,7.5,69,3,0.3913043479999999,2,0,0.0,1
0,0,3,4,69,0.0,5626,0,1,0.0,0.0,0.0,0.130434783,0,0,1,0,0,1,0,0,0,1,1,36,0.0,0.0,10.0,78,5,0.115384615,3,0,0.0,1
0,0,3,2,18,0.945619335,-1,0,0,85.71428571,0.054380665,0.111111111,0.0,331,0,0,1,0,1,0,201422,0,3,0,11,0.0,0.111111111,7.0,27,2,0.0,6,0,61.53846154,0
0,2,4,2,18,0.0,3593,0,0,0.0,0.0,0.0,0.0,0,0,1,1,0,1,0,8552690,0,3,1,10,2.0,0.0,6.5,29,0,0.0,3,0,0.0,1
1,9,7,5,16,1.0,2403,0,1,100.0,0.0,0.0,0.0,1,0,0,1,0,1,1,790268,0,3,0,9,4.333333333,0.0,5.5,73,3,0.123287671,6,0,0.0,1
1,8,5,3,18,1.0,72,0,0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,14,1,14,5.125,0.0,14.0,75,0,0.0,2,0,0.0,1
0,9,5,3,13,0.0,3452,0,1,0.0,0.0,0.0,0.0,0,0,1,1,0,1,0,3893420,0,3,1,9,3.923076923,0.0,4.0,84,2,0.333333333,6,0,0.0,0
1,17,5,4,50,1.0,3993,0,1,100.0,0.0,0.0,0.0,51,1,0,0,0,1,3,5707171,0,3,1,17,7.375,0.0,8.4,127,0,0.149606299,2,1,100.0,1
0,12,7,3,17,0.8072289159999999,8206,0,0,76.92307692,0.1927710839999999,0.1041666669999999,0.0,249,0,0,1,0,1,0,15425,0,3,1,12,7.5,0.0,6.0,75,5,0.0,3,0,19.04761905,0
0,7,4,1,7,0.835616438,2247,0,0,80.0,0.1643835619999999,0.666666667,0.0,73,0,0,0,0,0,0,13779,0,4,0,7,6.0,0.0,4.0,36,5,0.0,1,0,9.090909091,0
0,0,3,2,15,0.432432432,2031,0,0,55.55555556,0.567567568,0.142857143,0.0,37,0,0,1,0,1,0,962441,0,3,0,7,0.0,0.095238095,5.0,24,4,0.0,4,0,38.88888889,0
0,8,4,2,16,0.911894273,7133,0,0,100.0,0.088105727,0.25,0.0,227,0,0,0,0,0,0,12,0,2,0,9,4.666666667,0.05,5.5,58,7,0.0172413789999999,0,0,68.25396825,0
1,17,7,2,34,0.736842105,8018,0,0,44.44444444,0.263157895,0.0,0.0,19,1,0,0,0,1,1,0,0,2,1,17,7.909090909,0.0,9.333333333,142,4,0.028169014,1,0,100.0,1
0,11,3,2,21,0.7518796990000001,8823,0,0,16.66666667,0.248120301,0.0,0.0,266,0,0,0,0,0,0,24609,0,7,0,11,6.8,0.0,8.0,67,4,0.0,0,0,97.93814433,0
0,5,5,3,19,0.0,4633,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,8237707,1,6,1,8,4.0,0.0,7.0,42,0,0.0,2,0,0.0,1
1,12,3,2,16,0.0,2100,0,0,0.0,0.0,0.0,0.0,0,0,1,1,0,1,1,0,0,3,1,12,6.25,0.0,5.5,52,0,0.115384615,6,0,0.0,1
0,10,6,2,12,0.960591133,-1,0,0,90.90909091,0.039408867,0.5,0.0,203,0,0,1,0,0,0,7974,0,3,1,10,5.818181817999999,0.0,3.5,95,6,0.0,4,0,56.25,0
0,12,3,3,24,0.954545455,-1,0,0,100.0,0.045454545,0.0,0.0,66,0,0,1,0,1,0,608816,0,3,0,16,8.0,0.666666667,9.5,49,5,0.0,4,0,50.0,0
0,34,7,2,15,0.44,8346,0,0,37.5,0.56,0.0,0.0,25,1,0,0,0,1,0,1,0,4,1,34,12.0,0.0,5.0,101,10,0.108910891,3,0,0.0,1
0,11,4,2,31,0.375,4567,1,0,44.11764706,0.625,0.02,0.0,80,0,0,0,0,1,0,372555,0,4,0,22,7.4,0.06,13.0,81,3,0.0,1,0,80.0,0
1,43,4,3,16,0.0,7765,0,1,0.0,1.0,0.0,0.0,9,0,0,0,0,1,1,32,0,5,0,43,16.83333333,0.0,5.5,132,5,0.03030303,40,0,0.0,1
0,0,2,2,22,0.916666667,-1,0,0,100.0,0.083333333,1.0,0.0,12,0,0,1,0,1,0,378774,0,3,0,15,0.0,0.0,9.0,30,3,0.0,4,0,92.85714286,0
0,5,4,1,17,0.1692307689999999,3638,0,0,100.0,0.8307692309999999,0.111111111,0.0,65,0,0,0,0,1,0,758502,0,13,0,13,5.0,0.018518519,13.0,31,1,0.0,0,0,97.14285714,0
0,8,4,2,16,0.950226244,7130,0,0,100.0,0.0497737559999999,0.606060606,0.0,663,0,0,0,0,0,0,12,0,2,0,9,6.333333333,0.181818182,5.5,46,7,0.0,0,0,74.80916031,0
0,7,6,1,17,0.987261146,-2,0,1,100.0,0.0127388539999999,1.0,0.0,157,1,0,0,0,1,0,11543,0,6,1,7,4.888888889,0.0,6.5,78,3,0.08974359,1,0,100.0,0
0,0,3,2,13,0.982978723,3902,0,0,100.0,0.0170212769999999,0.25,0.0,235,0,0,1,0,0,0,544866,0,3,0,6,0.0,0.0,4.5,21,3,0.0,3,0,85.71428571,0
0,11,5,3,11,0.666666667,-1,0,0,83.33333333,0.333333333,0.2,0.0,15,0,0,0,0,1,0,4439212,0,5,1,11,5.8,0.0,5.0,52,2,0.076923077,1,0,0.0,1
1,11,3,4,14,0.4,5160,0,1,0.0,0.6,0.666666667,0.0,5,0,0,1,0,0,1,115,0,3,1,11,4.2,0.0,4.5,74,8,0.148648649,5,0,0.0,0
1,23,6,4,25,0.9,531,0,0,75.0,0.1,0.0,0.0,10,1,0,1,0,0,0,0,3,3,1,23,6.6,0.0,10.0,108,0,0.037037037,4,0,0.0,1
1,17,4,4,50,1.0,3993,0,1,100.0,0.0,0.0,0.0,51,1,0,0,0,1,3,5707171,0,3,1,17,8.142857142999999,0.0,8.4,125,0,0.192,6,1,100.0,1
0,0,3,1,9,0.993333333,954,0,0,100.0,0.0066666669999999,1.0,0.0,300,0,0,0,0,0,0,334510,0,6,0,6,0.0,0.0,6.0,17,2,0.0,1,0,96.55172414,0
0,10,4,2,14,0.8979591840000001,4918,0,0,100.0,0.1020408159999999,0.4,0.0,49,0,0,1,0,0,0,19671,0,3,0,10,4.5,0.0,4.5,43,5,0.0,6,0,77.77777778,0
0,0,2,1,11,0.80952381,-1,0,0,85.71428571,0.19047619,0.3,0.0,105,0,0,0,0,0,0,1111694,0,6,0,6,0.0,0.0,6.0,18,2,0.0,0,0,12.5,0
0,7,7,4,18,0.0,8299,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,41286,1,3,1,10,4.0,0.0,6.5,60,3,0.15,2,0,0.0,0
0,8,4,2,27,0.879310345,6609,0,0,87.09677419,0.120689655,0.285714286,0.148148148,116,0,0,0,0,0,0,931,0,8,1,14,5.0,0.071428571,11.0,47,5,0.085106383,6,0,0.0,1
1,200,5,6,13,1.0,31,0,0,100.0,0.0,0.0,0.0,9,0,0,1,0,1,0,0,2,9,1,200,25.55555556,0.0,9.0,259,0,0.181467181,8,0,0.0,1
0,6,4,2,16,0.680094787,6070,0,0,25.0,0.319905213,0.059259259,0.0,422,0,0,0,0,1,0,14592,0,5,0,6,4.4,0.014814815,5.5,50,5,0.0,0,0,13.43283582,0
1,19,7,2,15,0.44,8347,0,0,37.5,0.56,0.0,0.0,25,0,0,0,0,1,1,1,1,4,1,19,7.181818182000001,0.0,5.0,113,10,0.053097345,2,0,0.0,1
0,9,6,3,21,0.764705882,-1,0,0,100.0,0.235294118,0.0,0.0,17,1,0,1,0,0,0,0,2,3,1,10,6.5,0.0,6.5,60,1,0.0,4,0,63.63636364,1
0,5,4,2,25,0.112244898,1850,0,0,7.692307692000001,0.8877551020000001,0.931034483,0.0,98,0,0,1,0,1,0,0,0,3,1,17,5.0,0.0,10.0,39,0,0.0,3,0,3.333333333,1
0,0,3,2,30,0.0,7087,0,0,0.0,1.0,0.0,0.0,1,0,1,0,0,1,0,18105,0,11,1,14,0.0,0.0,12.5,39,3,0.0,0,0,0.0,1
0,0,3,2,16,0.943548387,5832,0,0,85.0,0.056451613,0.142857143,0.0,124,0,0,1,0,1,0,2383950,0,3,0,8,0.0,0.285714286,5.5,25,3,0.0,3,0,0.0,0
0,0,2,2,29,0.071428571,7295,0,0,0.0,0.928571429,0.846153846,0.034482759,14,0,0,0,0,1,0,0,0,8,1,16,0.0,0.615384615,12.0,36,5,0.027777778,2,0,14.28571429,1
0,9,5,3,10,0.344827586,5656,0,0,33.33333333,0.655172414,0.684210526,0.0,87,0,0,0,0,1,0,0,2,6,1,9,5.4,0.01754386,6.0,49,0,0.0,1,0,32.3943662,1
0,7,4,2,11,0.885057471,5143,0,0,66.66666667,0.114942529,0.0,0.0,87,0,0,0,0,1,0,45546,0,6,0,7,4.4,0.1,6.0,45,5,0.0,1,0,0.0,0
0,6,7,2,21,0.924528302,8217,0,0,88.46153846,0.075471698,0.333333333,0.0,159,1,0,0,0,1,0,213,0,7,0,9,3.25,0.0,8.0,63,8,0.0,2,0,65.21739129999999,0
0,3,4,2,19,0.7303370790000001,-1,0,0,50.0,0.269662921,0.083333333,0.0,89,0,0,0,0,1,0,788916,0,12,0,12,3.0,0.041666667,12.0,31,4,0.0,0,0,42.42424242,0
0,0,2,2,19,0.8666666670000001,5158,0,0,100.0,0.133333333,0.0,0.0,30,0,0,0,0,1,0,0,0,6,0,8,0.0,0.0,7.0,26,8,0.0,0,0,0.0,0
0,5,5,2,15,0.260869565,-12,0,0,20.0,0.739130435,0.352941176,0.0,23,0,0,0,0,1,0,0,1,12,1,12,3.5,0.0,12.0,40,0,0.0,2,0,0.0,1
0,0,3,2,72,0.0,-1,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,5,1,43,0.0,0.0,16.25,80,0,0.0,3,0,0.0,1
0,0,3,2,16,0.5256410260000001,2480,0,0,42.85714286,0.474358974,0.081081081,0.0,78,0,0,1,0,1,0,5257779,0,3,0,8,0.0,0.054054054,5.5,24,4,0.0,3,0,26.66666667,0
0,4,5,2,22,0.875,385,0,0,100.0,0.125,1.0,0.0,8,0,0,1,0,0,0,0,0,3,1,14,3.5,0.0,8.5,39,0,0.0,4,0,50.0,1
0,8,6,2,11,0.526315789,-1,0,0,60.0,0.473684211,0.0,0.0,19,1,0,0,0,1,0,6734931,3,7,0,8,4.625,0.0,7.0,63,1,0.0,1,0,100.0,1
0,9,3,3,25,0.941176471,3751,0,0,80.0,0.058823529,0.333333333,0.0,51,1,0,1,0,1,0,0,0,3,0,9,5.5,0.0,6.333333333,58,4,0.0,4,0,85.71428571,0
0,7,3,2,18,0.75,5456,0,0,60.0,0.25,0.0,0.0,24,1,0,0,0,1,0,124062,0,3,1,7,7.0,0.0,4.0,42,3,0.0,0,0,0.0,0
0,13,4,2,43,1.0,1834,0,0,100.0,0.0,0.0,0.11627907,4,0,0,0,0,1,0,0,0,18,1,20,13.0,0.0,19.0,65,0,0.076923077,3,0,100.0,1
0,4,5,3,27,0.210526316,7295,0,0,0.0,0.7894736840000001,0.7,0.0,38,0,0,0,0,1,0,0,0,8,1,14,3.333333333,0.666666667,11.0,61,5,0.131147541,0,0,26.66666667,1
0,32,9,3,20,1.0,658,0,1,100.0,0.0,0.0,0.0,1,1,1,0,0,1,0,9558747,4,14,1,32,8.111111111,0.0,14.0,109,0,0.19266055,1,0,0.0,1
2,301,6,2,11,0.529411765,505,0,1,0.0,0.470588235,0.125,0.0,17,1,0,0,0,1,3,0,7,7,1,301,37.5,0.875,7.0,404,0,0.121287129,6,0,50.0,1
0,0,2,2,16,0.9,8704,0,0,80.0,0.1,0.0,0.0,70,0,0,0,0,1,0,5332182,0,3,0,6,0.0,0.142857143,4.5,23,3,0.0,1,0,50.0,0
1,36,6,2,25,0.115384615,8018,0,0,7.692307692000001,0.884615385,0.0,0.0,26,1,0,0,0,1,0,0,1,2,1,36,8.142857142999999,0.086956522,6.333333333,99,4,0.03030303,2,0,0.0,1
0,0,3,2,23,0.528571429,1137,1,0,53.84615385,0.471428571,0.0606060609999999,0.0,70,0,0,1,0,1,0,1578580,0,3,1,15,0.0,0.03030303,9.0,32,3,0.0,4,0,31.57894737,0
0,13,9,4,17,0.0,7857,0,0,0.0,0.0,0.0,0.0,0,1,1,0,0,1,0,46701,2,3,1,13,5.444444444,0.0,3.0,86,4,0.0,0,0,0.0,1
0,8,5,3,21,0.904761905,7351,0,0,75.0,0.095238095,0.333333333,0.0,189,0,0,1,0,1,0,22839,0,3,0,13,4.5,0.055555556,8.0,61,5,0.0,4,0,11.11111111,0
0,0,3,2,21,1.0,-1,0,0,100.0,0.0,0.0,0.0,19,0,0,1,0,0,0,1274420,0,3,0,13,0.0,0.0,8.0,29,4,0.0,4,0,100.0,0
0,3,4,1,16,0.0,539,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,12,0,12,3.0,0.0,12.0,29,0,0.0,0,0,0.0,1
0,16,3,2,25,0.862745098,6255,0,0,61.53846154,0.1372549019999999,0.0,0.0,204,0,0,1,0,1,0,688,0,3,0,17,16.0,0.0,10.0,49,6,0.0,4,0,53.33333333,0
0,0,3,2,19,0.857142857,8934,0,0,66.66666667,0.142857143,0.0,0.0,42,0,0,0,0,1,0,18070,0,4,0,10,0.0,0.166666667,7.0,28,5,0.0,0,0,33.33333333,0
0,32,5,1,14,0.897727273,2192,1,1,85.71428571,0.102272727,0.5555555560000001,0.0,88,0,0,0,0,1,0,0,0,10,1,32,16.33333333,0.222222222,10.0,75,0,0.253333333,3,0,85.71428571,1
0,0,3,2,33,0.111111111,7296,0,0,0.0,0.8888888890000001,0.375,0.0,9,0,0,0,0,1,0,0,0,8,1,20,0.0,0.0,14.0,42,5,0.0,0,0,25.0,1
0,7,5,3,31,0.666666667,-1,0,0,75.0,0.333333333,0.25,0.0,12,1,0,0,0,1,0,967672,2,24,0,24,3.714285714,0.75,24.0,72,4,0.0,1,0,0.0,1
0,7,3,3,18,0.963636364,3588,0,0,100.0,0.036363636,0.5,0.0,55,0,0,1,0,0,0,2605178,0,3,0,10,5.5,0.0,6.5,39,3,0.0,3,0,80.0,0
1,43,6,2,21,0.7826086959999999,4284,0,1,66.66666667,0.2173913039999999,0.0,0.0,23,1,0,1,0,1,3,0,2,3,1,43,14.0,0.2,8.0,135,1,0.207407407,8,0,20.0,1
0,11,3,2,22,0.994652406,7586,0,0,100.0,0.005347594,0.0,0.0,187,0,0,1,0,1,0,988,0,3,0,14,9.0,0.0,8.5,49,5,0.0,4,0,91.66666667,0
0,0,3,1,17,0.0,6,0,0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,13,1,13,0.0,0.0,13.0,26,0,0.0,1,0,0.0,1
0,0,3,1,11,1.0,95,0,0,100.0,0.0,0.0,0.0,44,0,0,0,0,1,0,0,0,7,0,7,0.0,0.0,7.0,20,0,0.0,0,0,100.0,1
0,0,3,2,17,0.683870968,2600,0,0,73.58490566,0.316129032,0.1836734689999999,0.0,155,0,0,1,0,0,0,0,0,3,0,10,0.0,0.163265306,6.5,26,3,0.0,4,0,0.0,0
1,4,3,2,24,0.98816568,-1,1,0,94.44444444,0.01183432,0.5,0.0,169,0,0,1,0,1,1,105102,0,3,0,16,3.0,0.0,9.5,41,4,0.097560976,5,0,100.0,0
0,0,3,2,23,0.12,3727,0,0,40.0,0.88,0.1363636359999999,0.0,25,0,0,1,0,1,0,10481070,0,3,0,15,0.0,0.0,9.0,31,2,0.0,3,0,0.0,0
0,6,4,2,24,0.904761905,90,0,0,75.0,0.095238095,0.0,0.0,21,0,0,1,0,1,0,0,0,3,1,16,6.0,0.0,9.5,39,0,0.0,4,0,100.0,1
0,8,5,2,32,0.5,4763,0,0,42.85714286,0.5,0.25,0.0,16,0,0,1,0,1,0,6179184,0,3,0,9,6.5,0.0,6.25,84,3,0.0,4,0,40.0,0
1,26,7,2,39,0.115384615,8019,0,0,7.692307692000001,0.884615385,0.0,0.0,26,1,0,0,0,1,2,0,0,2,1,26,7.461538462,0.086956522,11.0,158,4,0.056962025,4,0,0.0,1
0,6,3,2,13,0.645833333,8336,0,0,45.0,0.354166667,0.042016807,0.153846154,336,0,0,1,0,1,0,66410,0,3,0,6,5.666666667,0.0,4.0,41,5,0.048780488,4,0,25.0,0
1,7,4,1,21,0.852320675,1,0,0,88.23529412,0.147679325,0.114285714,0.0,237,1,0,0,0,1,1,0,0,2,1,14,4.0,0.028571429,8.0,49,0,0.0,4,0,84.32432432,1
0,0,3,2,22,0.990954774,6660,0,0,69.23076923,0.009045226,0.222222222,0.0,995,0,0,1,0,1,0,1791361,0,3,0,14,0.0,0.0,8.5,31,2,0.0,4,0,97.79005525,0
0,0,3,2,37,0.272727273,7298,1,0,0.0,0.727272727,0.2,0.0,55,0,0,0,0,1,0,0,0,8,0,24,0.0,0.0,16.0,45,5,0.0,0,0,36.84210526,0
